dataset,catboost,decision_tree,gbmeta,lightgbm,logreg,mlp,random_forest,resattdnn,soft_vote,weighted_vote,xgboost
edge_iiotset,0.9163304033122402,0.9153424958050422,0.9225373203785718,0.9139515057263169,0.7410040534246726,0.9082144316537222,0.9136272801800894,0.9017935751085774,0.917081571689299,0.917081571689299,0.9150907466448999
nslkdd,0.9381690315619827,0.8753911112561679,0.9437422794071098,0.9513237973250206,0.8685005149514401,0.9132310259885777,0.9447052295470241,0.9230072195232487,0.956195222690749,0.956195222690749,0.9509234186735148
ton_iot,0.9301195461946062,0.9041330442069624,0.941176898104291,0.9389475483055083,0.6618851300350997,0.8686945226890087,0.9343723203696142,0.9057192241619801,0.9378089452352861,0.9378089452352861,0.9359982329245297
unsw_nb15,0.6056474751395509,0.6156972997011186,0.5999768114967478,0.6214216190872869,0.48367094482459966,0.5460803317051043,0.5749301059357418,0.5988624800135058,0.6260823742580455,0.625879482922966,0.6179871244270071
