dataset,model,key,n_seeds,mean,std,min,max,spread
edge_iiotset,GB-META,gbmeta,3,0.9225373203785718,0.002610902469418005,0.919543325871171,0.9243406007889322,0.004797274917761163
edge_iiotset,Soft Vote,soft_vote,3,0.917081571689299,0.0004877090521233897,0.9165936837346852,0.9175691016418388,0.0009754179071536084
edge_iiotset,Weighted Vote,weighted_vote,3,0.917081571689299,0.0004877090521233897,0.9165936837346852,0.9175691016418388,0.0009754179071536084
edge_iiotset,CatBoost,catboost,3,0.9163304033122402,0.0014110594625276218,0.9149584345974545,0.917777548093608,0.0028191134961534914
edge_iiotset,Decision Tree,decision_tree,3,0.9153424958050422,0.0041493997828665795,0.9107883754960047,0.9189089394231443,0.008120563927139668
edge_iiotset,XGBoost,xgboost,3,0.9150907466448999,0.001419247038700642,0.9135752180373768,0.9163885497775386,0.0028133317401617397
edge_iiotset,LightGBM,lightgbm,3,0.9139515057263169,0.0013913203822666885,0.9128793699300448,0.9155237521958752,0.002644382265830414
edge_iiotset,Random Forest,random_forest,3,0.9136272801800894,0.003986406240207672,0.9101648025038094,0.9179852795645894,0.00782047706078004
edge_iiotset,MLP,mlp,3,0.9082144316537222,0.004354123938265302,0.9033328595676443,0.9116973720740461,0.0083645125064018
edge_iiotset,ResAttDNN,resattdnn,3,0.9017935751085774,0.009335291574169489,0.8959220506702423,0.9125582305670403,0.016636179896797998
edge_iiotset,Logistic Regression,logreg,3,0.7410040534246726,0.012228403066891104,0.7274418922188606,0.7511887613774844,0.023746869158623785
nslkdd,Soft Vote,soft_vote,3,0.956195222690749,0.009998700649530493,0.9468336482409636,0.9667279076885668,0.019894259447603146
nslkdd,Weighted Vote,weighted_vote,3,0.956195222690749,0.009998700649530493,0.9468336482409636,0.9667279076885668,0.019894259447603146
nslkdd,LightGBM,lightgbm,3,0.9513237973250206,0.006873223763811805,0.9445237076486312,0.9582678921349601,0.013744184486328859
nslkdd,XGBoost,xgboost,3,0.9509234186735148,0.012925471138560385,0.9428282310115744,0.9658300528254449,0.02300182181387045
nslkdd,Random Forest,random_forest,3,0.9447052295470241,0.013412873488183246,0.9351637386005924,0.9600412548603284,0.024877516259736
nslkdd,GB-META,gbmeta,3,0.9437422794071098,0.0035123114104843936,0.9402014745391574,0.9472253864593819,0.007023911920224557
nslkdd,CatBoost,catboost,3,0.9381690315619827,0.0076971731656350646,0.9312772123926838,0.9464753522552768,0.015198139862592996
nslkdd,ResAttDNN,resattdnn,3,0.9230072195232487,0.013275934693171655,0.9080305354899328,0.9333283417117563,0.025297806221823427
nslkdd,MLP,mlp,3,0.9132310259885777,0.011041880233733172,0.9035149573351485,0.9252389992337374,0.021724041898588897
nslkdd,Decision Tree,decision_tree,3,0.8753911112561679,0.030763029524896644,0.8425444590421982,0.9035271255388259,0.06098266649662765
nslkdd,Logistic Regression,logreg,3,0.8685005149514401,0.012724781924226297,0.8595640067139059,0.8830694715412969,0.02350546482739102
ton_iot,GB-META,gbmeta,3,0.941176898104291,0.004194481268564728,0.9365472692311897,0.9447240174890386,0.008176748257848865
ton_iot,LightGBM,lightgbm,3,0.9389475483055083,0.0030502380165451986,0.9356732461852548,0.9417086037995418,0.006035357614286974
ton_iot,Soft Vote,soft_vote,3,0.9378089452352861,0.0014176677952101547,0.9361824184723198,0.9387821773468122,0.002599758874492486
ton_iot,Weighted Vote,weighted_vote,3,0.9378089452352861,0.0014176677952101547,0.9361824184723198,0.9387821773468122,0.002599758874492486
ton_iot,XGBoost,xgboost,3,0.9359982329245297,0.002774591194875425,0.9343052284040889,0.9392002941564181,0.004895065752329231
ton_iot,Random Forest,random_forest,3,0.9343723203696142,0.001918296292760587,0.9325926338019199,0.9364042658631586,0.00381163206123869
ton_iot,CatBoost,catboost,3,0.9301195461946062,0.00047852432171856544,0.9295969472292367,0.9305362588926951,0.0009393116634583976
ton_iot,ResAttDNN,resattdnn,3,0.9057192241619801,0.0051985427450297675,0.9009285973495992,0.9112469915152023,0.010318394165603095
ton_iot,Decision Tree,decision_tree,3,0.9041330442069624,0.008682045644730805,0.8943468704687099,0.9109105459058812,0.0165636754371713
ton_iot,MLP,mlp,3,0.8686945226890087,0.013610604339813853,0.8572778235290738,0.8837566301081345,0.026478806579060765
ton_iot,Logistic Regression,logreg,3,0.6618851300350997,0.014282776190561019,0.6506195004146593,0.6779492385163345,0.02732973810167516
unsw_nb15,Soft Vote,soft_vote,3,0.6260823742580455,0.005298853921674873,0.6229757361984969,0.6322007182448679,0.00922498204637101
unsw_nb15,Weighted Vote,weighted_vote,3,0.625879482922966,0.00515522065186066,0.6227245887539469,0.6318285752419482,0.00910398648800137
unsw_nb15,LightGBM,lightgbm,3,0.6214216190872869,0.0037575618761124204,0.6171260315673395,0.6240987682540217,0.0069727366866821905
unsw_nb15,XGBoost,xgboost,3,0.6179871244270071,0.01033085297630205,0.6069036213059275,0.6273490189353608,0.020445397629433315
unsw_nb15,Decision Tree,decision_tree,3,0.6156972997011186,0.012701335968401367,0.6020159943899407,0.6271140149785427,0.025098020588602
unsw_nb15,CatBoost,catboost,3,0.6056474751395509,0.0076374793506384904,0.5975445209657104,0.6127135319772673,0.015169011011556877
unsw_nb15,GB-META,gbmeta,3,0.5999768114967478,0.00521997585927361,0.594021925668672,0.6037621213876669,0.009740195718994982
unsw_nb15,ResAttDNN,resattdnn,3,0.5988624800135058,0.00487202875395105,0.5938932586246856,0.6036311207582862,0.009737862133600617
unsw_nb15,Random Forest,random_forest,3,0.5749301059357418,0.01503575469571207,0.558945009355643,0.5887904847246478,0.029845475369004837
unsw_nb15,MLP,mlp,3,0.5460803317051043,0.009936925504882187,0.5373924846640106,0.5569152854853632,0.019522800821352604
unsw_nb15,Logistic Regression,logreg,3,0.48367094482459966,0.008213298103511258,0.47863417300385336,0.4931486024609829,0.014514429457129552
